S.No,Country/Region,ISO3,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Export_Share_of_TotalTrade_%,Import_Share_of_TotalTrade_%,TradeBalance_Ratio_%,Exports_Growth_Computed_%,Imports_Growth_Computed_%,TotalTrade_Growth_%,Total_Trade_Calculated_Y1,Total_Trade_Difference_Y1,Total_Trade_Validation_Y1,Trade_Balance_Calculated_Y1,Trade_Balance_Difference_Y1,Trade_Balance_Validation_Y1,Total_Trade_Calculated_Y0,Total_Trade_Difference_Y0,Total_Trade_Validation_Y0,Trade_Balance_Calculated_Y0,Trade_Balance_Difference_Y0,Trade_Balance_Validation_Y0,Continent,Regional_Grouping,Income_Group_WB,GDP_USD_million_External,GDP_Growth_%_Derived,GDP_per_Capita_USD_Derived,Population_million_External,FTA_with_India,Distance_from_India_km_approx,Import_to_Export_Ratio,Trade_Balance_Category,Import_Dependency,Export_Dependency,Export_Growth_Category,Imports_Growth_Category,TotalTrade_Growth_Category,Trade_Pressure_Score_0_100,Trade_Pressure_Category,Export_Opportunity_Score_0_100_Sim,Market_Risk_Score_0_100_Sim,Investment_Priority_Score_0_100_Sim,Target_Market_Priority_Score_0_100_Sim,Expected_Revenue_USD_million_Sim,Expected_Cost_USD_million_Sim,Expected_Profit_USD_million_Sim,Profit_Margin_%_Sim,Investment_Required_USD_million_Sim,Expected_ROI_%_Sim,Recommended_Action_Sim,GDP_Source,GDP_Source_Year,Population_Source,Population_Source_Year,Classification_Source,Classification_Source_Year,Distance_Source,Year_Status_Note,Import_to_Export_Ratio_Status,Predictive_Next_Year_Exports,Predictive_Next_Year_Imports,Predictive_Next_Year_Total_Trade,Predictive_Next_Year_Trade_Balance,Predictive_Export_Lag_1,Predictive_Import_Lag_1,Predictive_Trade_Lag_1,Predictive_TradeBalance_Lag_1
52,CROATIA,HRV,1517.86,416.69,1934.55,1101.17,2271.17,586.51,2857.68,1684.66,78.46062391770697,21.53937608229304,56.92124783541392,49.62974187342707,40.75451774700616,47.71807397069085,1934.55,0.0,Valid,1101.1699999999998,0.0,Valid,2857.6800000000003,-0.0,Valid,1684.66,0.0,Valid,Europe,Europe and Central Asia,High income,82688.84,14.85,21387.63,3.866,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6231.0,0.2745,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,24.3,Low Trade Pressure,79.9,24.3,77.8,70.0,75.89,51.61,24.28,31.99,60.71,39.99,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,1517.86,416.69,1934.55,1101.17,2271.17,586.51,2857.68,1684.66
53,CUBA,CUB,319.37,16.23,335.6,303.13,102.81,20.81,123.62,82.0,95.16388557806911,4.83611442193087,90.32479141835518,-67.80849798039891,28.21934688847812,-63.16448152562575,335.6,0.0,Valid,303.14,-0.01,Valid,123.62,0.0,Valid,82.0,0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,,,,10.98,No,14767.0,0.0508,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,High Growth,Negative Growth,29.0,Low Trade Pressure,12.4,29.0,41.7,37.5,15.97,10.86,5.11,32.0,12.78,39.98,Maintain Current Trade,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,319.37,16.23,335.6,303.13,102.81,20.81,123.62,82.0
54,CYPRUS,CYP,632.21,319.93,952.14,312.27,615.14,357.27,972.4,257.87,66.39884890877393,33.601151091226086,32.79664755183061,-2.70005219784566,11.671303097552585,2.1278383431008034,952.14,-0.0,Valid,312.28000000000003,-0.01,Valid,972.41,-0.01,Valid,257.87,0.0,Valid,Europe,Europe and Central Asia,High income,32229.62,10.18,23728.23,1.358,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",4606.0,0.5061,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,High Growth,Moderate Growth,25.9,Low Trade Pressure,43.9,25.9,59.0,53.1,31.61,21.5,10.11,31.98,25.29,39.98,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,632.21,319.93,952.14,312.27,615.14,357.27,972.4,257.87
55,CZECH REPUBLIC,CZE,8379.54,4950.64,13330.17,3428.9,15267.6,4931.56,20199.16,10336.03,62.86146388230608,37.1386111354919,25.722852746814183,82.20093227074516,-0.385404715349933,51.52965040955967,13330.18,-0.01,Valid,3428.9000000000005,-0.0,Valid,20199.16,0.0,Valid,10336.04,-0.01,Valid,Europe,Europe and Central Asia,High income,330858.34,13.87,30339.98,10.905,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6292.0,0.5908,Trade Surplus,Low Import Dependency,Moderate Export Dependency,High Growth,Negative Growth,High Growth,21.4,Low Trade Pressure,90.8,21.4,84.7,76.2,418.98,284.91,134.07,32.0,335.18,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,8379.54,4950.64,13330.17,3428.9,15267.6,4931.56,20199.16,10336.03
56,DENMARK,DNK,5594.56,6308.47,11903.03,-713.91,5952.02,5404.3,11356.32,547.72,47.00114172609831,52.99885827390168,-5.997716547803374,6.389421151976206,-14.33263532996115,-4.593032194323638,11903.03,0.0,Valid,-713.9099999999999,-0.0,Valid,11356.32,0.0,Valid,547.7200000000003,-0.0,Valid,Europe,Europe and Central Asia,High income,404198.76,1.01,67625.78,5.977,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6753.0,1.1276,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Moderate Growth,Negative Growth,Negative Growth,25.1,Low Trade Pressure,61.1,25.1,68.0,61.2,279.73,190.21,89.52,32.0,223.78,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,5594.56,6308.47,11903.03,-713.91,5952.02,5404.3,11356.32,547.72
57,DJIBOUTI,DJI,7260.91,146.97,7407.88,7113.94,4742.55,120.98,4863.53,4621.57,98.01603157718536,1.9839684228146244,96.03206315437076,-34.68380685065646,-17.68388106416275,-34.34653369115051,7407.88,0.0,Valid,7113.94,0.0,Valid,4863.53,0.0,Valid,4621.570000000001,-0.0,Valid,Africa,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income,4098.53,11.55,3506.85,1.169,No,3751.0,0.0202,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,24.8,Low Trade Pressure,38.7,24.8,57.0,51.3,363.05,246.87,116.18,32.0,290.44,40.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,7260.91,146.97,7407.88,7113.94,4742.55,120.98,4863.53,4621.57
58,DOMINIC REP,DOM,2302.66,3461.35,5764.02,-1158.69,2617.06,4506.24,7123.3,-1889.18,39.94885513929514,60.05097137067532,-20.102116231380183,13.65377433055684,30.187354644863994,23.58215273368239,5764.01,0.01,Valid,-1158.69,0.0,Valid,7123.299999999999,0.0,Valid,-1889.18,-0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,121444.28,6.96,10627.32,11.428,No,14427.0,1.5032,Trade Deficit,Moderate Import Dependency,Low Export Dependency,High Growth,High Growth,High Growth,26.1,Low Trade Pressure,60.1,26.1,67.0,60.3,115.13,78.29,36.84,32.0,92.1,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2302.66,3461.35,5764.02,-1158.69,2617.06,4506.24,7123.3,-1889.18
59,DOMINICA,DMA,18.78,4.01,22.78,14.77,29.5,1.2,30.7,28.3,82.44073748902547,17.603160667251974,64.83757682177348,57.08200212992545,-70.07481296758104,34.767339771729574,22.79,-0.01,Valid,14.77,-0.0,Valid,30.7,0.0,Valid,28.3,0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,653.99,7.71,9878.3,0.066,No,13995.0,0.2135,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,21.3,Low Trade Pressure,65.2,21.3,72.0,64.8,0.94,0.65,0.29,30.85,0.75,38.67,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,18.78,4.01,22.78,14.77,29.5,1.2,30.7,28.3
60,ECUADOR,ECU,3381.39,5970.18,9351.57,-2588.79,2123.49,2653.63,4777.12,-530.15,36.15852739165723,63.84147260834278,-27.68294521668554,-37.200677827757225,-55.551926407579,-48.91638516313304,9351.57,0.0,Valid,-2588.7900000000004,0.0,Valid,4777.12,0.0,Valid,-530.1400000000003,-0.01,Valid,Americas,Latin America and the Caribbean,Upper-middle income,118844.83,1.94,6553.17,18.135,No,16598.0,1.7656,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.4,Low Trade Pressure,31.1,26.4,52.4,47.2,169.07,114.96,54.11,32.0,135.26,40.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,3381.39,5970.18,9351.57,-2588.79,2123.49,2653.63,4777.12,-530.15
61,EGYPT A RP,EGY,25081.21,8936.62,34017.83,16144.58,23672.69,7718.96,31391.64,15953.73,73.7296000362163,26.270399963783696,47.45917067608369,-5.615837513421404,-13.625509420787733,-7.720039755622278,34017.83,0.0,Valid,16144.589999999998,-0.01,Valid,31391.65,-0.01,Valid,15953.73,0.0,Valid,Africa,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income,395926.08,-16.95,3397.39,116.538,No,4828.0,0.3563,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,21.6,Low Trade Pressure,60.7,21.6,69.6,62.6,1254.06,852.75,401.31,32.0,1003.25,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,25081.21,8936.62,34017.83,16144.58,23672.69,7718.96,31391.64,15953.73
62,EL SALVADOR,SLV,857.71,17.76,875.47,839.95,1043.28,26.0,1069.28,1017.28,97.97137537551258,2.0286246244874184,95.94275075102516,21.635517832367576,46.39639639639638,22.13782311215689,875.47,0.0,Valid,839.95,0.0,Valid,1069.28,0.0,Valid,1017.28,0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,34015.62,6.34,5366.77,6.338,No,15950.0,0.0207,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,25.6,Low Trade Pressure,60.5,25.6,67.4,60.7,42.89,29.17,13.72,31.99,34.31,39.99,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,857.71,17.76,875.47,839.95,1043.28,26.0,1069.28,1017.28
63,EQUTL GUINEA,GNQ,181.39,1403.83,1585.22,-1222.44,139.6,3700.37,3839.97,-3560.77,11.442575793896117,88.55742420610387,-77.11484841220778,-23.038756271018247,163.59103310229872,142.23577799926824,1585.2199999999998,0.0,Valid,-1222.44,0.0,Valid,3839.97,0.0,Valid,-3560.77,0.0,Valid,Africa,Sub-Saharan Africa,Upper-middle income,12116.92,-10.16,6402.55,1.893,No,7532.0,7.7393,Trade Deficit,High Import Dependency,Low Export Dependency,Negative Growth,High Growth,High Growth,31.6,Low Trade Pressure,25.9,31.6,47.2,42.5,9.07,6.16,2.91,32.08,7.26,40.08,Reduce Import Dependency,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,181.39,1403.83,1585.22,-1222.44,139.6,3700.37,3839.97,-3560.77
64,ESTONIA,EST,450.11,947.24,1397.34,-497.13,503.14,841.16,1344.3,-338.03,32.211916927877255,67.78879871756337,-35.57688178968612,11.781564506453972,-11.19885139985643,-3.795783417063848,1397.35,-0.01,Valid,-497.13,0.0,Valid,1344.3,0.0,Valid,-338.02,-0.01,Valid,Europe,Europe and Central Asia,High income,40744.85,7.45,29690.03,1.372,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",5926.0,2.1045,Trade Deficit,High Import Dependency,Low Export Dependency,High Growth,Negative Growth,Negative Growth,25.0,Low Trade Pressure,50.2,25.0,62.6,56.3,22.51,15.31,7.2,31.99,18.01,39.98,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,450.11,947.24,1397.34,-497.13,503.14,841.16,1344.3,-338.03
65,ETHIOPIA,ETH,3364.49,548.94,3913.43,2815.56,3110.78,512.54,3623.33,2598.24,85.97291889723337,14.027081102766628,71.94609332478159,-7.540815992914219,-6.630961489415982,-7.412934433476513,3913.43,0.0,Valid,2815.55,0.01,Valid,3623.32,0.01,Valid,2598.24,-0.0,Valid,Africa,Sub-Saharan Africa,Low income,163697.93,29.13,1239.57,132.06,No,4401.0,0.1632,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,25.0,Low Trade Pressure,48.7,25.0,61.8,55.6,168.22,114.39,53.83,32.0,134.58,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,3364.49,548.94,3913.43,2815.56,3110.78,512.54,3623.33,2598.24
66,FIJI IS,FJI,537.57,8.33,545.9,529.24,608.52,10.43,618.95,598.09,98.47407950174026,1.5259204982597547,96.9481590034805,13.198281154082244,25.21008403361344,13.381571716431594,545.9000000000001,-0.0,Valid,529.24,0.0,Valid,618.9499999999999,0.0,Valid,598.09,0.0,Valid,Oceania,East Asia and Pacific,Upper-middle income,5494.8,10.34,5916.12,0.929,No,11487.0,0.0155,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,25.5,Low Trade Pressure,52.7,25.5,63.6,57.2,26.88,18.28,8.6,31.99,21.5,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,537.57,8.33,545.9,529.24,608.52,10.43,618.95,598.09
67,FINLAND,FIN,3983.85,6485.48,10469.32,-2501.63,3267.67,6017.65,9285.32,-2749.98,38.05261468748687,61.947480829700496,-23.89486614221363,-17.977082470474535,-7.213498461177892,-11.309234983742977,10469.33,-0.01,Valid,-2501.63,-0.0,Valid,9285.32,0.0,Valid,-2749.98,-0.0,Valid,Europe,Europe and Central Asia,High income,300187.2,6.49,53414.94,5.62,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6169.0,1.6279,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.8,Low Trade Pressure,44.5,26.8,58.8,52.9,199.19,135.45,63.74,32.0,159.35,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,3983.85,6485.48,10469.32,-2501.63,3267.67,6017.65,9285.32,-2749.98
68,FR GUIANA,GUF,11.32,4.63,15.95,6.69,10.62,2.69,13.31,7.93,70.9717868338558,29.0282131661442,41.9435736677116,-6.183745583038879,-41.90064794816415,-16.55172413793103,15.95,0.0,Valid,6.69,0.0,Valid,13.31,0.0,Valid,7.93,0.0,Valid,Americas,,,,,,,No,13939.0,0.409,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,24.7,Low Trade Pressure,30.2,24.7,52.8,47.5,0.57,0.38,0.19,33.33,0.46,41.3,Maintain Current Trade,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,11.32,4.63,15.95,6.69,10.62,2.69,13.31,7.93
69,FR POLYNESIA,PYF,74.65,2.13,76.78,72.52,89.38,1.96,91.35,87.42,97.22584006251628,2.77415993748372,94.45168012503257,19.732083054253167,-7.981220657276992,18.97629591039332,76.78,0.0,Valid,72.52000000000001,-0.0,Valid,91.34,0.01,Valid,87.42,0.0,Valid,Oceania,East Asia and Pacific,High income,,,,0.282,No,16060.0,0.0285,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,24.5,Low Trade Pressure,49.6,24.5,62.6,56.3,3.73,2.53,1.2,32.17,2.98,40.27,Diversify Product,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,74.65,2.13,76.78,72.52,89.38,1.96,91.35,87.42
70,FRANCE,FRA,49214.56,51197.73,100412.3,-1983.17,56083.28,52846.39,108929.67,3236.89,49.012481538616285,50.98750850244442,-1.9750269638281368,13.95668273779142,3.220181832280447,8.482397076852134,100412.29,0.01,Valid,-1983.1700000000053,0.0,Valid,108929.67,0.0,Valid,3236.8899999999994,0.0,Valid,Europe,Europe and Central Asia,High income,3030904.09,9.06,44213.44,68.552,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",7281.0,1.0403,Balanced,Moderate Import Dependency,Low Export Dependency,High Growth,Moderate Growth,Moderate Growth,25.6,Low Trade Pressure,75.8,25.6,75.1,67.6,2460.73,1673.29,787.44,32.0,1968.58,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,49214.56,51197.73,100412.3,-1983.17,56083.28,52846.39,108929.67,3236.89
71,GABON,GAB,481.23,2244.33,2725.56,-1763.09,699.91,2347.77,3047.68,-1647.86,17.65618808611808,82.34381191388192,-64.6872569306858,45.44188849406727,4.608947881995966,11.818488677556168,2725.56,0.0,Valid,-1763.1,0.01,Valid,3047.68,0.0,Valid,-1647.86,0.0,Valid,Africa,Sub-Saharan Africa,Upper-middle income,20516.13,-2.64,8080.55,2.539,No,7473.0,4.6637,Trade Deficit,High Import Dependency,Low Export Dependency,High Growth,Moderate Growth,High Growth,24.6,Low Trade Pressure,70.9,24.6,73.2,65.9,24.06,16.35,7.71,32.04,19.25,40.05,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,481.23,2244.33,2725.56,-1763.09,699.91,2347.77,3047.68,-1647.86
72,GAMBIA,GMB,1228.57,307.1,1535.67,921.46,856.88,357.81,1214.68,499.07,80.00221401733445,19.997785982665548,60.00377685309996,-30.2538723882237,16.512536633018556,-20.90227718194664,1535.67,0.0,Valid,921.47,-0.01,Valid,1214.69,-0.01,Valid,499.07,0.0,Valid,Africa,Sub-Saharan Africa,Low income,2339.9,7.58,847.8,2.76,No,9862.0,0.25,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,High Growth,Negative Growth,27.0,Low Trade Pressure,30.6,27.0,51.8,46.6,61.43,41.78,19.65,31.99,49.14,39.99,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,1228.57,307.1,1535.67,921.46,856.88,357.81,1214.68,499.07
